daily,f0_
2015-09-15,84946
2015-09-16,92084
2015-09-17,98089
2015-09-18,108726
2015-09-19,95813
2015-09-20,82355
2015-09-21,74684
2015-09-22,76871
2015-09-23,77663
2015-09-24,85029
2015-09-25,98169
2015-09-26,92666
2015-09-27,81146
2015-09-28,84844
2015-09-29,93334
2015-09-30,89529
2015-10-01,91919
2015-10-02,97511
2015-10-03,90088
2015-10-04,76366
2015-10-05,78594
2015-10-06,82924
2015-10-07,91991
2015-10-08,77381
2015-10-09,96995
2015-10-10,86395
2015-10-11,74867
2015-10-12,76117
2015-10-13,89987
2015-10-14,90082
2015-10-15,97200
2015-10-16,106959
2015-10-17,93868
2015-10-18,76475
2015-10-19,79672
2015-10-20,88110
2015-10-21,89810
2015-10-22,90383
2015-10-23,100122
2015-10-24,88006
2015-10-25,73037
2015-10-26,76995
2015-10-27,84824
2015-10-28,85099
2015-10-29,90118
2015-10-30,93061
2015-10-31,87007
2015-11-01,87111
2015-11-02,73643
2015-11-03,79029
2015-11-04,84461
2015-11-05,91000
2015-11-06,100708
2015-11-07,88243
2015-11-08,75180
2015-11-09,78726
2015-11-10,82576
2015-11-11,82157
2015-11-12,96730
2015-11-13,97295
2015-11-14,79325
2015-11-15,67476
2015-11-16,76464
2015-11-17,88074
2015-11-18,88637
2015-11-19,96177
2015-11-20,98079
2015-11-21,86093
2015-11-22,70532
2015-11-23,68311
2015-11-24,68669
2015-11-25,59708
2015-11-26,37348
2015-11-27,50464
2015-11-28,67117
2015-11-29,61694
2015-11-30,85007
2015-12-01,88647
2015-12-02,93558
2015-12-03,100883
2015-12-04,104867
2015-12-05,90897
2015-12-06,71124
2015-12-07,72446
2015-12-08,76539
2015-12-09,81278
2015-12-10,93863
2015-12-11,103596
2015-12-12,89864
2015-12-13,72054
2015-12-14,75409
2015-12-15,80736
2015-12-16,89542
2015-12-17,101633
2015-12-18,109067
2015-12-19,87288
2015-12-20,62612
2015-12-21,69043
2015-12-22,69498
2015-12-23,62500
2015-12-24,39185
2015-12-25,17827
2015-12-26,36356
2015-12-27,45928
2015-12-28,61533
2015-12-29,59029
2015-12-30,65915
2015-12-31,72195
2016-01-01,97197
2016-01-02,68999
2016-01-03,59284
2016-01-04,67764
2016-01-05,71733
2016-01-06,75721
2016-01-07,80097
2016-01-08,92762
2016-01-09,75588
2016-01-10,64965
2016-01-11,82652
2016-01-12,87100
2016-01-13,91411
2016-01-14,88775
2016-01-15,99031
2016-01-16,84270
2016-01-17,75169
2016-01-18,66991
2016-01-19,86844
2016-01-20,89479
2016-01-21,94166
2016-01-22,99174
2016-01-23,79738
2016-01-24,65756
2016-01-25,77559
2016-01-26,80788
2016-01-27,83963
2016-01-28,90281
2016-01-29,96411
2016-01-30,74888
2016-01-31,61799
2016-02-01,71237
2016-02-02,86670
2016-02-03,82487
2016-02-04,89760
2016-02-05,92790
2016-02-06,75694
2016-02-07,63940
2016-02-08,79111
2016-02-09,89847
2016-02-10,95050
2016-02-11,101314
2016-02-12,110008
2016-02-13,99975
2016-02-14,86253
2016-02-15,70926
2016-02-16,86223
2016-02-17,91029
2016-02-18,97736
2016-02-19,104161
2016-02-20,94317
2016-02-21,76365
2016-02-22,78247
2016-02-23,83892
2016-02-24,93810
2016-02-25,105808
2016-02-26,113269
2016-02-27,94284
2016-02-28,73000
2016-02-29,81220
2016-03-01,89365
